mbid;originalhash;myhash;themhash;status
Settlements.Settlement.name.castle_village_A8_1;1128347987;1128347987;1525313824;UseMy
Settlements.Settlement.name.castle_village_A8_2;1696571316;1696571316;-1940067117;UseMy
Settlements.Settlement.name.castle_village_A9_1;-1324959859;1516426489;-1465955102;UseMy
Settlements.Settlement.name.castle_village_A9_2;190221053;190221053;1122082364;UseMy
Settlements.Settlement.name.castle_village_B1_1;282098005;282098005;-965308488;UseMy
Settlements.Settlement.name.castle_village_B1_2;-561480340;-561480340;-2063781298;UseMy
Settlements.Settlement.name.castle_village_B2_1;1008622124;1008622124;190284197;UseMy
Settlements.Settlement.name.castle_village_B2_2;1350242082;1350242082;-18189950;UseMy
Settlements.Settlement.name.castle_village_B3_1;856736475;856736475;-441036619;UseMy
Settlements.Settlement.name.castle_village_B3_2;953839727;953839727;1404839259;UseMy
Settlements.Settlement.name.castle_village_B4_1;835871230;835871230;-96006235;UseMy
Settlements.Settlement.name.castle_village_B4_2;883231432;883231432;-486061203;UseMy
Settlements.Settlement.name.castle_village_B5_1;-865043714;-865043714;-1049595437;UseMy
Settlements.Settlement.name.castle_village_B5_2;50521297;50521297;1711459299;UseMy
Settlements.Settlement.name.castle_village_B6_1;1679469437;1679469437;-1288343864;UseMy
Settlements.Settlement.name.castle_village_B6_2;181693941;181693941;-472510627;UseMy
Settlements.Settlement.name.castle_village_B7_1;-642960063;-642960063;1855772588;UseMy
Settlements.Settlement.name.castle_village_B7_2;-973738772;-973738772;1686738722;UseMy
Settlements.Settlement.name.castle_village_B8_1;12972405;12972405;890249656;UseMy
Settlements.Settlement.name.castle_village_B8_2;179559757;179559757;1753163951;UseMy
Settlements.Settlement.name.castle_village_EN1_1;-1647294553;-1647294553;1540180588;UseMy
Settlements.Settlement.name.castle_village_EN1_2;-1716417279;-1716417279;1175096598;UseMy
Settlements.Settlement.name.castle_village_EN2_1;836957638;836957638;1054833568;UseMy
Settlements.Settlement.name.castle_village_EN2_2;-1709103393;-1709103393;-623962023;UseMy
Settlements.Settlement.name.castle_village_EN3_1;1447532510;1447532510;1311021131;UseMy
Settlements.Settlement.name.castle_village_EN3_2;661694437;661694437;-1376375009;UseMy
Settlements.Settlement.name.castle_village_EN4_1;-1872639232;-1872639232;-1322748404;UseMy
Settlements.Settlement.name.castle_village_EN4_2;647351276;647351276;504451906;UseMy
Settlements.Settlement.name.castle_village_EN5_1;2101170631;2101170631;94912437;UseMy
Settlements.Settlement.name.castle_village_EN5_2;760596869;760596869;-218898221;UseMy
Settlements.Settlement.name.castle_village_EN6_1;-615052012;-615052012;-1075756562;UseMy
Settlements.Settlement.name.castle_village_EN6_2;971882633;971882633;-1024718140;UseMy
Settlements.Settlement.name.castle_village_EN7_1;119649807;119649807;-153157028;UseMy
Settlements.Settlement.name.castle_village_EN7_2;-104783176;-104783176;928945193;UseMy
Settlements.Settlement.name.castle_village_EN8_1;-803104899;-803104899;863004678;UseMy
Settlements.Settlement.name.castle_village_EN8_2;1758838356;2087826002;1125856091;UseMy
Settlements.Settlement.name.castle_village_EN9_1;1441466023;1441466023;-189244431;UseMy
Settlements.Settlement.name.castle_village_EN9_2;-907535285;-907535285;-955550477;UseMy
Settlements.Settlement.name.castle_village_ES1_1;-1051258008;-1051258008;-111822761;UseMy
Settlements.Settlement.name.castle_village_ES1_2;1043831324;1043831324;429833184;UseMy
Settlements.Settlement.name.castle_village_ES2_1;1535956505;1535956505;844212571;UseMy
Settlements.Settlement.name.castle_village_ES2_2;-1398342018;-1398342018;342800038;UseMy
Settlements.Settlement.name.castle_village_ES3_1;-1945035698;-1945035698;566617829;UseMy
Settlements.Settlement.name.castle_village_ES3_2;277663170;277663170;-1243679168;UseMy
Settlements.Settlement.name.castle_village_ES4_1;920046328;920046328;1116825462;UseMy
Settlements.Settlement.name.castle_village_ES4_2;-827670814;-827670814;-2026770057;UseMy
Settlements.Settlement.name.castle_village_ES5_1;1535893075;1535893075;843790361;UseMy
Settlements.Settlement.name.castle_village_ES5_2;1842047570;1842047570;1194343910;UseMy
Settlements.Settlement.name.castle_village_ES6_1;-1556718238;879499753;-1708834697;UseMy
Settlements.Settlement.name.castle_village_ES6_2;1036028075;1036028075;-471882807;UseMy
Settlements.Settlement.name.castle_village_ES7_1;212283495;212283495;-46377639;UseMy
Settlements.Settlement.name.castle_village_ES7_2;1636645790;1636645790;25577450;UseMy
Settlements.Settlement.name.castle_village_ES8_1;-303343190;-303343190;-1458622063;UseMy
Settlements.Settlement.name.castle_village_ES8_2;-708759100;-708759100;-1742344506;UseMy
Settlements.Settlement.name.castle_village_EW1_1;-1060235822;-1060235822;1130971298;UseMy
Settlements.Settlement.name.castle_village_EW1_2;-360623164;-360623164;-1687351479;UseMy
Settlements.Settlement.name.castle_village_EW2_1;876630548;876630548;-907944733;UseMy
Settlements.Settlement.name.castle_village_EW2_2;-96625294;-96625294;-972618606;UseMy
Settlements.Settlement.name.castle_village_EW3_1;654105386;654105386;-1875567024;UseMy
Settlements.Settlement.name.castle_village_EW3_2;-913654977;-913654977;1016780728;UseMy
Settlements.Settlement.name.castle_village_EW4_1;-1760372519;-1760372519;1119733847;UseMy
Settlements.Settlement.name.castle_village_EW4_2;-352424025;-352424025;1484317814;UseMy
Settlements.Settlement.name.castle_village_EW5_1;75907898;75907898;1311073584;UseMy
Settlements.Settlement.name.castle_village_EW5_2;823354336;823354336;843707198;UseMy
Settlements.Settlement.name.castle_village_EW6_1;1830709423;1830709423;951520032;UseMy
Settlements.Settlement.name.castle_village_EW6_2;721762755;721762755;2117645339;UseMy
Settlements.Settlement.name.castle_village_EW7_1;-93194490;-93194490;1939776326;UseMy
Settlements.Settlement.name.castle_village_EW7_2;719292958;719292958;316179138;UseMy
Settlements.Settlement.name.castle_village_EW8_1;1985216253;1985216253;-2012837748;UseMy
Settlements.Settlement.name.castle_village_EW8_2;1215805507;1215805507;1881596741;UseMy
Settlements.Settlement.name.castle_village_K1_1;1945396838;1945396838;553543561;UseMy
Settlements.Settlement.name.castle_village_K1_2;-830541204;-830541204;1669288873;UseMy
Settlements.Settlement.name.castle_village_K2_1;1860542995;1860542995;-2048938194;UseMy
Settlements.Settlement.name.castle_village_K2_2;-1317757081;-1317757081;1648653978;UseMy
Settlements.Settlement.name.castle_village_K3_1;1067992600;1067992600;1401768595;UseMy
Settlements.Settlement.name.castle_village_K3_2;1319516903;1319516903;-2043574615;UseMy
Settlements.Settlement.name.castle_village_K4_1;1594939915;1594939915;101167154;UseMy
Settlements.Settlement.name.castle_village_K4_2;1825991755;1825991755;1892784476;UseMy
Settlements.Settlement.name.castle_village_K5_1;-2128591816;-2128591816;-2087510224;UseMy
Settlements.Settlement.name.castle_village_K5_2;444622415;444622415;742283072;UseMy
Settlements.Settlement.name.castle_village_K6_1;1319504894;1319504894;-2043658675;UseMy
Settlements.Settlement.name.castle_village_K6_2;1168836633;1168836633;151292831;UseMy
Settlements.Settlement.name.castle_village_K7_1;1723210749;1723210749;652264513;UseMy
Settlements.Settlement.name.castle_village_K7_2;-1663183266;-1663183266;-685475503;UseMy
Settlements.Settlement.name.castle_village_K8_1;-133224471;-133224471;835596161;UseMy
Settlements.Settlement.name.castle_village_K8_2;-1017702022;-1017702022;315129711;UseMy
Settlements.Settlement.name.castle_village_K9_1;227923631;227923631;501676890;UseMy
Settlements.Settlement.name.castle_village_K9_2;190225818;190225818;1122081304;UseMy
Settlements.Settlement.name.castle_village_S1_1;721453745;721453745;-786456583;UseMy
Settlements.Settlement.name.castle_village_S1_2;123844818;123844818;1542744709;UseMy
Settlements.Settlement.name.castle_village_S2_1;-946627856;-946627856;733708335;UseMy
Settlements.Settlement.name.castle_village_S2_2;-11310258;-11310258;-1969736661;UseMy
Settlements.Settlement.name.castle_village_S3_1;1018572987;1018572987;168898083;UseMy
Settlements.Settlement.name.castle_village_S3_2;63229857;63229857;-1894048766;UseMy
Settlements.Settlement.name.castle_village_S4_1;-176075227;-176075227;-279108672;UseMy
Settlements.Settlement.name.castle_village_S4_2;615238979;615238979;411401269;UseMy
Settlements.Settlement.name.castle_village_S5_1;-1588198615;-1588198615;1583857486;UseMy
Settlements.Settlement.name.castle_village_S5_2;-1893476944;-683623363;1669030331;UseMy
Settlements.Settlement.name.castle_village_S6_1;996791231;996791231;1928598292;UseMy
Settlements.Settlement.name.castle_village_S6_2;1948234478;1948234478;1363605068;UseMy
Settlements.Settlement.name.castle_village_S7_1;1203586609;1203586609;-637688011;UseMy
Settlements.Settlement.name.castle_village_S7_2;2086300614;2086300614;519012359;UseMy
Settlements.Settlement.name.castle_village_S8_1;907921154;907921154;-106677321;UseMy
Settlements.Settlement.name.castle_village_S8_2;769885475;769885475;1004725547;UseMy
Settlements.Settlement.name.castle_village_V1_1;-1402462294;-1402462294;1499494797;UseMy
Settlements.Settlement.name.castle_village_V2_1;-816198623;-816198623;330932705;UseMy
Settlements.Settlement.name.castle_village_V2_2;696643008;696643008;-937624630;UseMy
Settlements.Settlement.name.castle_village_V3_1;48299410;48299410;2132181736;UseMy
Settlements.Settlement.name.castle_village_V3_2;-2050542645;-2050542645;-832448915;UseMy
Settlements.Settlement.name.castle_village_V4_1;1602903222;1602903222;1603968339;UseMy
Settlements.Settlement.name.castle_village_V5_1;-1409361952;-1409361952;685243643;UseMy
Settlements.Settlement.name.castle_village_V5_2;-696096011;-696096011;89795484;UseMy
Settlements.Settlement.name.castle_village_V6_1;1800388665;1800388665;467402508;UseMy
Settlements.Settlement.name.castle_village_V6_2;-1850928061;-1850928061;539685968;UseMy
Settlements.Settlement.name.castle_village_V7_1;1001138927;1001138927;539390777;UseMy
Settlements.Settlement.name.castle_village_V7_2;1180251471;1180251471;485812708;UseMy
Settlements.Settlement.name.castle_village_V8_1;-1580120065;-1580120065;-1797302670;UseMy
Settlements.Settlement.name.castle_village_V8_2;-166024075;-166024075;765849509;UseMy
Settlements.Settlement.name.town_A1;1884168620;1884168620;-1180552187;UseMy
Settlements.Settlement.name.town_A2;-1096953826;-1096953826;1335097068;UseMy
Settlements.Settlement.name.town_A3;-299548616;-299548616;-832691680;UseMy
